dataset,backend,dl_mode,threads,seqlen,batch_size,n_batches_measured,total_bytes,duration_ns,throughput (MiB/s)
1KGP,svar,none,1,2048,2,39282,321798144,45001062069,6.819630712925075
1KGP,svar,none,1,2048,2,39447,323149824,45000632145,6.848341296784244
1KGP,svar,none,1,2048,2,39369,322510848,45000069766,6.834885236831035
1KGP,svar,none,4,2048,2,36425,298393600,45001013955,6.323642235807484
1KGP,svar,none,4,2048,2,36380,298024960,45000130590,6.315953893324024
1KGP,svar,none,4,2048,2,36773,301244416,45000901397,6.384073509228689
1KGP,svar,none,16,2048,2,25838,211664896,45001447318,4.485619619599632
1KGP,svar,none,16,2048,2,25454,208519168,45000636052,4.419034761424488
1KGP,svar,none,16,2048,2,25458,208551936,45001635157,4.41963107131814
1KGP,svar,none,32,2048,2,12956,106135552,45000312351,2.2492899429341566
1KGP,svar,none,32,2048,2,19447,159309824,45011815138,3.3753290560312794
1KGP,svar,none,32,2048,2,23902,195805184,45001015122,4.149559170915452
1KGP,svar,none,1,2048,8,32768,1073741824,38245658006,26.7742811442636
1KGP,svar,none,1,2048,8,32768,1073741824,38052028884,26.91052303995723
1KGP,svar,none,1,2048,8,32768,1073741824,38112088346,26.868115719706356
1KGP,svar,none,4,2048,8,32768,1073741824,39742744153,25.76570948543076
1KGP,svar,none,4,2048,8,32768,1073741824,39902389872,25.662623298624865
1KGP,svar,none,4,2048,8,32768,1073741824,40031502837,25.579854050683938
1KGP,svar,none,16,2048,8,25484,835059712,45001680693,17.69656127807413
1KGP,svar,none,16,2048,8,25574,838008832,45001704926,17.75904938077723
1KGP,svar,none,16,2048,8,25558,837484544,45001753157,17.747919669119923
1KGP,svar,none,32,2048,8,22223,728203264,45001701046,15.432055541414433
1KGP,svar,none,32,2048,8,27247,892829696,45000593207,18.921278350338525
1KGP,svar,none,32,2048,8,27725,908492800,45000399918,19.253301116851645
1KGP,svar,none,1,2048,32,8192,1073741824,10032147528,102.07186418879785
1KGP,svar,none,1,2048,32,8192,1073741824,10040173168,101.99027276378943
1KGP,svar,none,1,2048,32,8192,1073741824,10010675851,102.29079587046155
1KGP,svar,none,4,2048,32,8192,1073741824,9642273508,106.19902029852273
1KGP,svar,none,4,2048,32,8192,1073741824,9633631725,106.29428539837606
1KGP,svar,none,4,2048,32,8192,1073741824,9628649651,106.34928438731289
1KGP,svar,none,16,2048,32,8192,1073741824,13540802052,75.62328996964796
1KGP,svar,none,16,2048,32,8192,1073741824,13554660959,75.54596924979421
1KGP,svar,none,16,2048,32,8192,1073741824,13577555868,75.41858122001138
1KGP,svar,none,32,2048,32,8192,1073741824,41862715499,24.46090722481825
1KGP,svar,none,32,2048,32,8192,1073741824,16721516006,61.238466633800975
1KGP,svar,none,32,2048,32,8192,1073741824,22416977693,45.679663602455996
1KGP,svar,none,1,2048,128,2048,1073741824,3169341713,323.09548566497534
1KGP,svar,none,1,2048,128,2048,1073741824,3142249266,325.8812122513517
1KGP,svar,none,1,2048,128,2048,1073741824,3138521840,326.26824097550326
1KGP,svar,none,4,2048,128,2048,1073741824,2756090292,371.5408029164815
1KGP,svar,none,4,2048,128,2048,1073741824,2743330233,373.2689516129428
1KGP,svar,none,4,2048,128,2048,1073741824,2736069454,374.25950518286805
1KGP,svar,none,16,2048,128,2048,1073741824,4077071846,251.16064633608127
1KGP,svar,none,16,2048,128,2048,1073741824,3463887781,295.6215861312858
1KGP,svar,none,16,2048,128,2048,1073741824,3473151121,294.83312540260755
1KGP,svar,none,32,2048,128,2048,1073741824,6094113723,168.03099622760354
1KGP,svar,none,32,2048,128,2048,1073741824,10511499860,97.41711588625755
1KGP,svar,none,32,2048,128,2048,1073741824,18383206689,55.70301293586244
1KGP,svar,none,1,2048,512,512,1073741824,1349763734,758.6512914859513
1KGP,svar,none,1,2048,512,512,1073741824,1311391277,780.8500925387808
1KGP,svar,none,1,2048,512,512,1073741824,1330034659,769.9047487754227
1KGP,svar,none,4,2048,512,512,1073741824,930681241,1100.269302623668
1KGP,svar,none,4,2048,512,512,1073741824,886491485,1155.1154380236376
1KGP,svar,none,4,2048,512,512,1073741824,887453089,1153.8638072169695
1KGP,svar,none,16,2048,512,512,1073741824,1122896672,911.9271839822499
1KGP,svar,none,16,2048,512,512,1073741824,1122449142,912.2907770907271
1KGP,svar,none,16,2048,512,512,1073741824,1123669112,911.300301008897
1KGP,svar,none,32,2048,512,512,1073741824,1251136890,818.4556048059618
1KGP,svar,none,32,2048,512,512,1073741824,1046631791,978.3765492366932
1KGP,svar,none,32,2048,512,512,1073741824,1230520396,832.1682463197466
1KGP,svar,none,1,2048,2048,128,1073741824,826585810,1238.8308480640383
1KGP,svar,none,1,2048,2048,128,1073741824,812820640,1259.8105284334315
1KGP,svar,none,1,2048,2048,128,1073741824,807132248,1268.6892421128985
1KGP,svar,none,4,2048,2048,128,1073741824,571860774,1790.6456371144632
1KGP,svar,none,4,2048,2048,128,1073741824,399369307,2564.042809629334
1KGP,svar,none,4,2048,2048,128,1073741824,395212126,2591.013616824095
1KGP,svar,none,16,2048,2048,128,1073741824,698022446,1467.0015353632339
1KGP,svar,none,16,2048,2048,128,1073741824,407392580,2513.5460248195977
1KGP,svar,none,16,2048,2048,128,1073741824,417118203,2454.939613364224
1KGP,svar,none,32,2048,2048,128,1073741824,1702980578,601.2986954922277
1KGP,svar,none,32,2048,2048,128,1073741824,386684200,2648.155781901614
1KGP,svar,none,32,2048,2048,128,1073741824,386606548,2648.6876782024915
1KGP,svar,none,1,2048,8192,32,1073741824,1064758152,961.720742007524
1KGP,svar,none,1,2048,8192,32,1073741824,1047692470,977.3860453535567
