dataset,backend,dl_mode,threads,seqlen,batch_size,n_batches_measured,total_bytes,duration_ns,throughput (MiB/s)
1KGP,svar,none,1,1048576,2,256,1073741824,864406422,1184.6279411376238
1KGP,svar,none,1,1048576,2,256,1073741824,825447470,1240.5392677501331
1KGP,svar,none,1,1048576,2,256,1073741824,817608816,1252.4326792484096
1KGP,svar,none,4,1048576,2,256,1073741824,759917327,1347.5150040893857
1KGP,svar,none,4,1048576,2,256,1073741824,760423722,1346.6176427357693
1KGP,svar,none,4,1048576,2,256,1073741824,760145016,1347.1113780215853
1KGP,svar,none,16,1048576,2,256,1073741824,2005252860,510.6587904330429
1KGP,svar,none,16,1048576,2,256,1073741824,798381589,1282.5947067273867
1KGP,svar,none,16,1048576,2,256,1073741824,797094866,1284.6651555274225
1KGP,svar,none,32,1048576,2,256,1073741824,927630230,1103.88813007959
1KGP,svar,none,32,1048576,2,256,1073741824,839232159,1220.162965656801
1KGP,svar,none,32,1048576,2,256,1073741824,840703247,1218.0278875501951
1KGP,svar,none,1,1048576,8,64,1073741824,590468847,1734.2151160093294
1KGP,svar,none,1,1048576,8,64,1073741824,578996663,1768.5766869437036
1KGP,svar,none,1,1048576,8,64,1073741824,579090385,1768.2904543476404
1KGP,svar,none,4,1048576,8,64,1073741824,305094761,3356.334263635553
1KGP,svar,none,4,1048576,8,64,1073741824,304259939,3365.5433027612617
1KGP,svar,none,4,1048576,8,64,1073741824,304286590,3365.248530998359
1KGP,svar,none,16,1048576,8,64,1073741824,1056079639,969.6238448168775
1KGP,svar,none,16,1048576,8,64,1073741824,850523821,1203.9639275429536
1KGP,svar,none,16,1048576,8,64,1073741824,853715116,1199.463358219371
1KGP,svar,none,32,1048576,8,64,1073741824,245412730,4172.562686540344
1KGP,svar,none,32,1048576,8,64,1073741824,701691838,1459.330071329688
1KGP,svar,none,32,1048576,8,64,1073741824,873138860,1172.7802379566522
1KGP,svar,none,1,1048576,32,16,1073741824,813957405,1258.0510892950226
1KGP,svar,none,1,1048576,32,16,1073741824,813673550,1258.4899681205075
1KGP,svar,none,1,1048576,32,16,1073741824,813764993,1258.3485512505943
1KGP,svar,none,4,1048576,32,16,1073741824,233446731,4386.439662759724
1KGP,svar,none,4,1048576,32,16,1073741824,237773064,4306.62743194494
1KGP,svar,none,4,1048576,32,16,1073741824,235333395,4351.273647329143
1KGP,svar,none,16,1048576,32,16,1073741824,423686820,2416.879524361886
1KGP,svar,none,16,1048576,32,16,1073741824,422285492,2424.8997879377775
1KGP,svar,none,16,1048576,32,16,1073741824,391860410,2613.1754417344687
1KGP,svar,none,32,1048576,32,16,1073741824,231552154,4422.3298393501445
1KGP,svar,none,32,1048576,32,16,1073741824,124233706,8242.529607866645
1KGP,svar,none,32,1048576,32,16,1073741824,293431664,3489.739266857036
1KGP,svar,none,1,1048576,128,10,2684354560,1916400669,1335.8375633086362
1KGP,svar,none,1,1048576,128,10,2684354560,1912773089,1338.3709833236785
1KGP,svar,none,1,1048576,128,10,2684354560,1910860841,1339.710325876106
1KGP,svar,none,4,1048576,128,10,2684354560,535968402,4776.400978951741
1KGP,svar,none,4,1048576,128,10,2684354560,540265161,4738.413995197444
1KGP,svar,none,4,1048576,128,10,2684354560,542506555,4718.836991748422
1KGP,svar,none,16,1048576,128,10,2684354560,541936938,4723.796848850337
1KGP,svar,none,16,1048576,128,10,2684354560,259201133,9876.500038292657
1KGP,svar,none,16,1048576,128,10,2684354560,257754146,9931.944993815929
1KGP,svar,none,32,1048576,128,10,2684354560,283117054,9042.196377191747
1KGP,svar,none,32,1048576,128,10,2684354560,280213191,9135.901100387528
1KGP,svar,none,32,1048576,128,10,2684354560,278221165,9201.312919525732
1KGP,svar,none,1,1048576,512,10,10737418240,7768286057,1318.1800882284374
1KGP,svar,none,1,1048576,512,10,10737418240,7696894809,1330.4066450312328
1KGP,svar,none,1,1048576,512,10,10737418240,7699933394,1329.8816335189717
1KGP,svar,none,4,1048576,512,10,10737418240,2132952470,4800.857095516994
1KGP,svar,none,4,1048576,512,10,10737418240,2145132880,4773.597055675172
1KGP,svar,none,4,1048576,512,10,10737418240,2140549135,4783.8191763815785
1KGP,svar,none,16,1048576,512,10,10737418240,1705828306,6002.948810253827
1KGP,svar,none,16,1048576,512,10,10737418240,1678441974,6100.896044440795
1KGP,svar,none,16,1048576,512,10,10737418240,1526683100,6707.351381567006
1KGP,svar,none,32,1048576,512,10,10737418240,811800997,12613.928829653803
1KGP,svar,none,32,1048576,512,10,10737418240,742478813,13791.639331262642
1KGP,svar,none,32,1048576,512,10,10737418240,613591920,16688.61610824341
1KGP,svar,none,1,1048576,2048,10,42949672960,30298754294,1351.8707601820854
1KGP,svar,none,1,1048576,2048,10,42949672960,30253148761,1353.908656701627
1KGP,svar,none,1,1048576,2048,10,42949672960,30250154369,1354.0426769516034
1KGP,svar,none,4,1048576,2048,10,42949672960,8311084713,4928.3578996531405
1KGP,svar,none,4,1048576,2048,10,42949672960,8366837715,4895.517445804791
1KGP,svar,none,4,1048576,2048,10,42949672960,8349301629,4905.799529116522
1KGP,svar,none,16,1048576,2048,10,42949672960,3767442630,10872.096544705711
1KGP,svar,none,16,1048576,2048,10,42949672960,3677120992,11139.149375044552
1KGP,svar,none,16,1048576,2048,10,42949672960,3852572364,10631.857400719287
1KGP,svar,none,32,1048576,2048,10,42949672960,2414548630,16963.83311194689
1KGP,svar,none,32,1048576,2048,10,42949672960,3010684668,13604.878795629485
1KGP,svar,none,32,1048576,2048,10,42949672960,2248222970,18218.83351721115
1KGP,svar,none,1,1048576,8192,5,85899345920,55931671683,1464.6442263390986
1KGP,svar,none,1,1048576,8192,5,85899345920,55865700253,1466.3738148632779
1KGP,svar,none,1,1048576,8192,5,85899345920,55841931113,1466.9979774558517
1KGP,svar,none,4,1048576,8192,10,171798691840,34797116968,4708.43605091393
1KGP,svar,none,4,1048576,8192,10,171798691840,33899324037,4833.134720361209
1KGP,svar,none,4,1048576,8192,10,171798691840,33914990047,4830.902199085053
