dataset,backend,dl_mode,threads,seqlen,batch_size,elapsed_ns,rss_bytes
1KGP,svar,none,32,1048576,8192,62142534202,40635228160
1KGP,svar,none,32,1048576,8192,62664793666,44619816960
1KGP,svar,none,32,1048576,8192,63186779462,31243915264
1KGP,svar,none,32,1048576,8192,63774522168,38463905792
1KGP,svar,none,32,1048576,8192,64347973132,43782283264
1KGP,svar,none,32,1048576,8192,64869984109,47481659392
1KGP,svar,none,32,1048576,8192,65386704877,36217270272
1KGP,svar,none,32,1048576,8192,65963163897,42673528832
1KGP,svar,none,32,1048576,8192,66485055207,46486151168
1KGP,svar,none,32,1048576,8192,67001702784,33482178560
1KGP,svar,none,32,1048576,8192,67590585381,40714485760
1KGP,svar,none,32,1048576,8192,68114335641,44824903680
1KGP,svar,none,32,1048576,8192,68675802830,31222579200
1KGP,svar,none,32,1048576,8192,69217115769,37983547392
1KGP,svar,none,32,1048576,8192,69792710160,44058996736
1KGP,svar,none,32,1048576,8192,70314657868,48504958976
1KGP,svar,none,32,1048576,8192,70908785577,37840719872
1KGP,svar,none,32,1048576,8192,71495316625,44664852480
1KGP,svar,none,32,1048576,8192,72020686443,48680824832
1KGP,svar,none,32,1048576,8192,72592155653,37986656256
1KGP,svar,none,32,1048576,8192,73167214754,43648966656
1KGP,svar,none,32,1048576,8192,73688674210,47534989312
1KGP,svar,none,32,1048576,8192,74210143050,35048652800
1KGP,svar,none,32,1048576,8192,74764903199,41866629120
1KGP,svar,none,32,1048576,8192,75290170511,45907841024
1KGP,svar,none,32,1048576,8192,75812527403,32326729728
1KGP,svar,none,32,1048576,8192,76385513251,39695020032
1KGP,svar,none,32,1048576,8192,76966303326,46380740608
1KGP,svar,none,32,1048576,8192,77488245935,32809111552
1KGP,svar,none,32,1048576,8192,78068137061,39995707392
1KGP,svar,none,32,1048576,8192,78640927437,45982928896
1KGP,svar,none,32,1048576,8192,79171487792,32123830272
1KGP,svar,none,32,1048576,8192,79756184523,39856635904
1KGP,svar,none,32,1048576,8192,80337129189,47330885632
1KGP,svar,none,32,1048576,8192,80879992230,35393957888
1KGP,svar,none,32,1048576,8192,81451157424,42315112448
1KGP,svar,none,32,1048576,8192,81975522604,46345838592
1KGP,svar,none,32,1048576,8192,82496960477,32409829376
1KGP,svar,none,32,1048576,8192,83060941583,39849148416
1KGP,svar,none,32,1048576,8192,83635261414,47021408256
1KGP,svar,none,32,1048576,8192,84176970903,34304126976
1KGP,svar,none,32,1048576,8192,84776730110,42172076032
1KGP,svar,none,32,1048576,8192,85354079428,48346091520
1KGP,svar,none,32,1048576,8192,85879133230,36143636480
1KGP,svar,none,32,1048576,8192,86453860456,43298455552
1KGP,svar,none,32,1048576,8192,87037236015,48851714048
1KGP,svar,none,32,1048576,8192,87558985104,36469026816
1KGP,svar,none,32,1048576,8192,88131282931,43573825536
1KGP,svar,none,32,1048576,8192,88674854763,47992500224
1KGP,svar,none,32,1048576,8192,89196413673,35375652864
1KGP,svar,none,32,1048576,8192,89775981300,42593779712
1KGP,svar,none,32,1048576,8192,90318995007,47335440384
1KGP,svar,none,32,1048576,8192,90841127853,33746288640
1KGP,svar,none,32,1048576,8192,91415744133,40890253312
1KGP,svar,none,32,1048576,8192,92000854192,46812512256
1KGP,svar,none,32,1048576,8192,92531049759,33078259712
