dataset,backend,threads,seqlen,batch_size,avg_rss_bytes,peak_rss_bytes
TCGA_ATAC,gvl061,64,131072,2,1077184256,1145794560
TCGA_ATAC,gvl061,64,131072,2,1212730314,1227874304
TCGA_ATAC,gvl061,64,131072,2,1227903819,1228447744
TCGA_ATAC,gvl061,64,131072,4,1230300728,1231179776
TCGA_ATAC,gvl061,64,131072,4,1232041876,1232228352
TCGA_ATAC,gvl061,64,131072,4,1232246784,1232257024
TCGA_ATAC,gvl061,64,131072,8,1235242263,1235857408
TCGA_ATAC,gvl061,64,131072,8,1236236101,1236275200
TCGA_ATAC,gvl061,64,131072,8,1237364736,1237614592
TCGA_ATAC,gvl061,64,131072,16,1240003730,1241092096
TCGA_ATAC,gvl061,64,131072,16,1241721709,1241894912
TCGA_ATAC,gvl061,64,131072,16,1242930029,1243103232
TCGA_ATAC,gvl061,64,131072,32,1254496665,1257345024
TCGA_ATAC,gvl061,64,131072,32,1257898803,1258635264
TCGA_ATAC,gvl061,64,131072,32,1259937792,1260908544
TCGA_ATAC,gvl061,64,131072,64,1272297062,1292632064
TCGA_ATAC,gvl061,64,131072,64,1265374003,1290715136
TCGA_ATAC,gvl061,64,131072,64,1273022873,1292845056
TCGA_ATAC,gvl061,64,131072,128,1302835200,1361006592
TCGA_ATAC,gvl061,64,131072,128,1296385024,1297436672
TCGA_ATAC,gvl061,64,131072,128,1298046976,1298350080
TCGA_ATAC,gvl061,64,131072,256,1415761920,1500090368
TCGA_ATAC,gvl061,64,131072,256,1401677824,1503285248
TCGA_ATAC,gvl061,64,131072,256,1403295744,1503997952
TCGA_ATAC,gvl061,64,131072,512,1609504768,1773711360
TCGA_ATAC,gvl061,64,131072,512,1602589696,1802133504
TCGA_ATAC,gvl061,64,131072,512,1695644672,1832787968
TCGA_ATAC,gvl061,64,131072,1024,2090742579,2384949248
TCGA_ATAC,gvl061,64,131072,1024,2400498483,2645667840
TCGA_ATAC,gvl061,64,131072,1024,2447680307,2666110976
TCGA_ATAC,gvl061,64,131072,2048,3402135552,3790462976
TCGA_ATAC,gvl061,64,131072,2048,3831947776,4297515008
TCGA_ATAC,gvl061,64,131072,2048,4028650496,4298002432
TCGA_ATAC,gvl061,64,131072,4096,5650157568,7010103296
TCGA_ATAC,gvl061,64,131072,4096,5819395803,7337127936
TCGA_ATAC,gvl061,64,131072,4096,5861511168,7337656320
TCGA_ATAC,gvl061,64,131072,8192,10247947972,13672833024
TCGA_ATAC,gvl061,64,131072,8192,12058070548,14036082688
TCGA_ATAC,gvl061,64,131072,8192,12089764785,14036283392
TCGA_ATAC,gvl061,64,131072,16384,19899780834,24925548544
TCGA_ATAC,gvl061,64,131072,16384,22026650599,24926134272
TCGA_ATAC,gvl061,64,131072,16384,21774318705,24926285824
TCGA_ATAC,gvl061,64,131072,32768,33249060466,42108059648
TCGA_ATAC,gvl061,64,131072,32768,35170016704,42108243968
TCGA_ATAC,gvl061,64,131072,32768,33844557327,42108325888
TCGA_ATAC,gvl061,64,131072,65536,54489939498,76472750080
TCGA_ATAC,gvl061,64,131072,65536,57489347391,76473040896
TCGA_ATAC,gvl061,64,131072,65536,57678600155,76472188928
