dataset,method,query_length,n_samples,replicate,n_pairs,n_calls,elapsed_ns,setup_ns
1KGP,presubset_bcf,8388608,3202,0,2,36406,224831848,2967782753
1KGP,presubset_bcf,8388608,3202,1,2,35032,137529281,2993983054
1KGP,presubset_bcf,8388608,3202,2,2,37536,139912003,2923264715
1KGP,presubset_bcf,8388608,3202,3,2,41712,163140032,2804235198
1KGP,presubset_bcf,8388608,3202,4,2,37056,138749066,2802520343
1KGP,presubset_bcf,16777216,3202,0,1,32599,217777046,2829426351
1KGP,presubset_bcf,16777216,3202,1,1,16377,91104154,2535091389
1KGP,presubset_bcf,16777216,3202,2,1,19226,77336336,2254404718
1KGP,presubset_bcf,16777216,3202,3,1,32286,124596780,2660481736
1KGP,presubset_bcf,16777216,3202,4,1,34463,129434245,2813088063
