threads,batch_size,n_batches
1,2,256
4,2,256
16,2,256
32,2,256
1,8,64
4,8,64
16,8,64
32,8,64
1,32,16
4,32,16
16,32,16
32,32,16
1,128,10
4,128,10
16,128,10
32,128,10
1,512,10
4,512,10
16,512,10
32,512,10
1,2048,10
4,2048,10
16,2048,10
32,2048,10
1,8192,10
4,8192,10
16,8192,10
32,8192,10
