dataset,backend,mode,dl_mode,threads,seqlen,batch_size,throughput (MiB/s)
tcga-atac,gvl027,haps,none,1,131072,16,2397.8087228721033
tcga-atac,gvl027,haps,none,1,131072,16,2424.5411791513834
tcga-atac,gvl027,haps,none,1,131072,16,2489.5920043010983
tcga-atac,gvl027,haps,none,1,131072,16,2531.811203978941
tcga-atac,gvl027,haps,none,1,131072,16,2540.4097872895504
tcga-atac,gvl027,haps,none,16,131072,16,5918.138147472611
tcga-atac,gvl027,haps,none,16,131072,16,5933.290876911589
tcga-atac,gvl027,haps,none,16,131072,16,5968.228293391975
tcga-atac,gvl027,haps,none,16,131072,16,5933.042941448824
tcga-atac,gvl027,haps,none,16,131072,16,5969.620757021499
tcga-atac,gvl027,haps,none,64,131072,16,4677.967030946787
tcga-atac,gvl027,haps,none,64,131072,16,4829.1278385514415
tcga-atac,gvl027,haps,none,64,131072,16,4831.171049641034
tcga-atac,gvl027,haps,none,64,131072,16,4840.140003234698
tcga-atac,gvl027,haps,none,64,131072,16,4652.715883865218
tcga-atac,gvl027,haps,none,1,131072,256,3098.3036583623625
tcga-atac,gvl027,haps,none,1,131072,256,3048.903490512454
tcga-atac,gvl027,haps,none,1,131072,256,3052.081681944141
tcga-atac,gvl027,haps,none,1,131072,256,3079.7204195537265
tcga-atac,gvl027,haps,none,1,131072,256,2983.1864035514727
tcga-atac,gvl027,haps,none,16,131072,256,22945.046066480525
tcga-atac,gvl027,haps,none,16,131072,256,25501.097975048044
tcga-atac,gvl027,haps,none,16,131072,256,24180.43572679545
tcga-atac,gvl027,haps,none,16,131072,256,24736.9186545488
tcga-atac,gvl027,haps,none,16,131072,256,24520.859618624236
tcga-atac,gvl027,haps,none,64,131072,256,10975.487500003765
tcga-atac,gvl027,haps,none,64,131072,256,10976.122044580925
tcga-atac,gvl027,haps,none,64,131072,256,12487.132223422446
tcga-atac,gvl027,haps,none,64,131072,256,10257.47513000192
tcga-atac,gvl027,haps,none,64,131072,256,10638.45534441552
tcga-atac,gvl027,haps,none,1,131072,4096,3272.18698686882
tcga-atac,gvl027,haps,none,1,131072,4096,3248.187088867874
tcga-atac,gvl027,haps,none,1,131072,4096,3267.771952513174
tcga-atac,gvl027,haps,none,1,131072,4096,3238.0099473752853
tcga-atac,gvl027,haps,none,1,131072,4096,3224.1453935088957
tcga-atac,gvl027,haps,none,16,131072,4096,26336.88121262903
tcga-atac,gvl027,haps,none,16,131072,4096,27801.794111043957
tcga-atac,gvl027,haps,none,16,131072,4096,25076.07862389411
tcga-atac,gvl027,haps,none,16,131072,4096,25524.115792502358
tcga-atac,gvl027,haps,none,16,131072,4096,24011.176846507424
tcga-atac,gvl027,haps,none,64,131072,4096,6960.804992148441
tcga-atac,gvl027,haps,none,64,131072,4096,20519.817112168883
tcga-atac,gvl027,haps,none,64,131072,4096,19739.256079150622
tcga-atac,gvl027,haps,none,64,131072,4096,17864.045796808667
tcga-atac,gvl027,haps,none,64,131072,4096,19018.9415280823
