dataset,backend,mode,dl_mode,threads,seqlen,batch_size,throughput (MiB/s)
1kgp,gvl027,haps,none,1,131072,16,1375.58688020532
1kgp,gvl027,haps,none,1,131072,16,1808.812147045176
1kgp,gvl027,haps,none,1,131072,16,2459.1489568995107
1kgp,gvl027,haps,none,1,131072,16,2554.00081085386
1kgp,gvl027,haps,none,1,131072,16,2543.6741041006467
1kgp,gvl027,haps,none,16,131072,16,6283.782099864455
1kgp,gvl027,haps,none,16,131072,16,6285.652908297613
1kgp,gvl027,haps,none,16,131072,16,6323.246666793194
1kgp,gvl027,haps,none,16,131072,16,6319.7014125079795
1kgp,gvl027,haps,none,16,131072,16,6226.814700805219
1kgp,gvl027,haps,none,64,131072,16,4648.04740940566
1kgp,gvl027,haps,none,64,131072,16,4685.97687448985
1kgp,gvl027,haps,none,64,131072,16,4698.797506749827
1kgp,gvl027,haps,none,64,131072,16,4681.23077333479
1kgp,gvl027,haps,none,64,131072,16,4687.417237909521
1kgp,gvl027,haps,none,1,131072,256,2895.4181190699196
1kgp,gvl027,haps,none,1,131072,256,2899.0517980822337
1kgp,gvl027,haps,none,1,131072,256,2911.9917324992857
1kgp,gvl027,haps,none,1,131072,256,2900.552299484147
1kgp,gvl027,haps,none,1,131072,256,2905.2100769830517
1kgp,gvl027,haps,none,16,131072,256,19535.914776410333
1kgp,gvl027,haps,none,16,131072,256,18713.715720159587
1kgp,gvl027,haps,none,16,131072,256,18374.54207423366
1kgp,gvl027,haps,none,16,131072,256,16346.271224729486
1kgp,gvl027,haps,none,16,131072,256,15839.835041222015
1kgp,gvl027,haps,none,64,131072,256,15409.978172455762
1kgp,gvl027,haps,none,64,131072,256,13331.290772949553
1kgp,gvl027,haps,none,64,131072,256,13037.919546369152
1kgp,gvl027,haps,none,64,131072,256,12765.330816896632
1kgp,gvl027,haps,none,64,131072,256,12610.553207058721
1kgp,gvl027,haps,none,1,131072,4096,2371.4181567523697
1kgp,gvl027,haps,none,1,131072,4096,2493.664338015246
1kgp,gvl027,haps,none,1,131072,4096,2365.3675249803964
1kgp,gvl027,haps,none,1,131072,4096,2429.929649323546
1kgp,gvl027,haps,none,1,131072,4096,2363.9240223416105
1kgp,gvl027,haps,none,16,131072,4096,36698.84738069887
1kgp,gvl027,haps,none,16,131072,4096,36843.61272203664
1kgp,gvl027,haps,none,16,131072,4096,36961.99607002161
1kgp,gvl027,haps,none,16,131072,4096,37051.38734751805
1kgp,gvl027,haps,none,16,131072,4096,36851.61652015461
1kgp,gvl027,haps,none,64,131072,4096,39160.286287799376
1kgp,gvl027,haps,none,64,131072,4096,42523.73056603759
1kgp,gvl027,haps,none,64,131072,4096,44402.1889315087
1kgp,gvl027,haps,none,64,131072,4096,44567.25777125688
1kgp,gvl027,haps,none,64,131072,4096,45552.097662830274
