dataset,backend,mode,dl_mode,threads,seqlen,batch_size,throughput (MiB/s)
1kgp,gvl027,haps,none,1,16384,128,1361.8614525424819
1kgp,gvl027,haps,none,1,16384,128,1955.8790173488126
1kgp,gvl027,haps,none,1,16384,128,2418.5608229737586
1kgp,gvl027,haps,none,1,16384,128,2421.9818490786884
1kgp,gvl027,haps,none,1,16384,128,2423.9501621893205
1kgp,gvl027,haps,none,16,16384,128,6025.455602222542
1kgp,gvl027,haps,none,16,16384,128,6019.063072865318
1kgp,gvl027,haps,none,16,16384,128,6033.823478103422
1kgp,gvl027,haps,none,16,16384,128,6066.7012624294075
1kgp,gvl027,haps,none,16,16384,128,6050.580616710688
1kgp,gvl027,haps,none,64,16384,128,3306.359199863449
1kgp,gvl027,haps,none,64,16384,128,4904.458482604231
1kgp,gvl027,haps,none,64,16384,128,4907.069523651896
1kgp,gvl027,haps,none,64,16384,128,4913.316541531506
1kgp,gvl027,haps,none,64,16384,128,4921.645985414241
1kgp,gvl027,haps,none,1,16384,2048,2807.909871178352
1kgp,gvl027,haps,none,1,16384,2048,2814.043765398793
1kgp,gvl027,haps,none,1,16384,2048,2813.7553454494014
1kgp,gvl027,haps,none,1,16384,2048,2809.206837942094
1kgp,gvl027,haps,none,1,16384,2048,2814.286844388098
1kgp,gvl027,haps,none,16,16384,2048,15978.06985912465
1kgp,gvl027,haps,none,16,16384,2048,15917.719791803494
1kgp,gvl027,haps,none,16,16384,2048,14772.675304058028
1kgp,gvl027,haps,none,16,16384,2048,13691.28755881654
1kgp,gvl027,haps,none,16,16384,2048,14680.365006171829
1kgp,gvl027,haps,none,64,16384,2048,14850.27569155446
1kgp,gvl027,haps,none,64,16384,2048,12987.46036195191
1kgp,gvl027,haps,none,64,16384,2048,13301.52744652546
1kgp,gvl027,haps,none,64,16384,2048,13462.674754312075
1kgp,gvl027,haps,none,64,16384,2048,13845.69133616727
1kgp,gvl027,haps,none,1,16384,32768,3303.598493906306
1kgp,gvl027,haps,none,1,16384,32768,3309.732328286662
1kgp,gvl027,haps,none,1,16384,32768,3309.449269549758
1kgp,gvl027,haps,none,1,16384,32768,3311.8360598895897
1kgp,gvl027,haps,none,1,16384,32768,3306.8101016174214
1kgp,gvl027,haps,none,16,16384,32768,32253.99029676172
1kgp,gvl027,haps,none,16,16384,32768,31773.34090708912
1kgp,gvl027,haps,none,16,16384,32768,32021.963373956874
1kgp,gvl027,haps,none,16,16384,32768,32031.09577285351
1kgp,gvl027,haps,none,16,16384,32768,32122.470227684036
1kgp,gvl027,haps,none,64,16384,32768,27938.693850691878
1kgp,gvl027,haps,none,64,16384,32768,36701.912918721086
1kgp,gvl027,haps,none,64,16384,32768,42346.699260378045
1kgp,gvl027,haps,none,64,16384,32768,41887.01545371758
1kgp,gvl027,haps,none,64,16384,32768,41934.77586862126
