dataset,backend,mode,dl_mode,threads,seqlen,batch_size,throughput (MiB/s)
tcga-atac,gvl027,tracks,none,1,131072,16,24264.537778622816
tcga-atac,gvl027,tracks,none,1,131072,16,22201.486775105484
tcga-atac,gvl027,tracks,none,1,131072,16,26314.686153291386
tcga-atac,gvl027,tracks,none,1,131072,16,21617.28368054536
tcga-atac,gvl027,tracks,none,1,131072,16,22155.394602842956
tcga-atac,gvl027,tracks,none,16,131072,16,26189.231598529794
tcga-atac,gvl027,tracks,none,16,131072,16,24020.29034844807
tcga-atac,gvl027,tracks,none,16,131072,16,26728.208441115476
tcga-atac,gvl027,tracks,none,16,131072,16,21553.44336496464
tcga-atac,gvl027,tracks,none,16,131072,16,19001.472176707368
tcga-atac,gvl027,tracks,none,64,131072,16,18154.379893218094
tcga-atac,gvl027,tracks,none,64,131072,16,20399.18511882803
tcga-atac,gvl027,tracks,none,64,131072,16,17721.047439176284
tcga-atac,gvl027,tracks,none,64,131072,16,21743.487197902923
tcga-atac,gvl027,tracks,none,64,131072,16,24157.8520592428
tcga-atac,gvl027,tracks,none,1,131072,256,11747.159623140778
tcga-atac,gvl027,tracks,none,1,131072,256,11654.2928317171
tcga-atac,gvl027,tracks,none,1,131072,256,11624.434565199585
tcga-atac,gvl027,tracks,none,1,131072,256,11694.126908848504
tcga-atac,gvl027,tracks,none,1,131072,256,11758.241395334579
tcga-atac,gvl027,tracks,none,16,131072,256,37852.77934970286
tcga-atac,gvl027,tracks,none,16,131072,256,36682.65582147195
tcga-atac,gvl027,tracks,none,16,131072,256,34261.557101972896
tcga-atac,gvl027,tracks,none,16,131072,256,35534.12247494583
tcga-atac,gvl027,tracks,none,16,131072,256,27828.881355095047
tcga-atac,gvl027,tracks,none,64,131072,256,14568.66694207465
tcga-atac,gvl027,tracks,none,64,131072,256,12555.440040314581
tcga-atac,gvl027,tracks,none,64,131072,256,13912.488178972171
tcga-atac,gvl027,tracks,none,64,131072,256,14828.991719904225
tcga-atac,gvl027,tracks,none,64,131072,256,13626.492990738356
tcga-atac,gvl027,tracks,none,1,131072,4096,13019.768003281297
tcga-atac,gvl027,tracks,none,1,131072,4096,12858.615110717872
tcga-atac,gvl027,tracks,none,1,131072,4096,12896.965699143695
tcga-atac,gvl027,tracks,none,1,131072,4096,12949.100065957657
tcga-atac,gvl027,tracks,none,1,131072,4096,12900.74026958306
tcga-atac,gvl027,tracks,none,16,131072,4096,64152.32348864752
tcga-atac,gvl027,tracks,none,16,131072,4096,67516.13380544864
tcga-atac,gvl027,tracks,none,16,131072,4096,67708.34867223582
tcga-atac,gvl027,tracks,none,16,131072,4096,68483.40209949708
tcga-atac,gvl027,tracks,none,16,131072,4096,67874.91825235529
tcga-atac,gvl027,tracks,none,64,131072,4096,56536.90881484977
tcga-atac,gvl027,tracks,none,64,131072,4096,53716.786786383804
tcga-atac,gvl027,tracks,none,64,131072,4096,50669.406186280794
tcga-atac,gvl027,tracks,none,64,131072,4096,45157.014646073374
tcga-atac,gvl027,tracks,none,64,131072,4096,50714.987917630024
