dataset,backend,mode,dl_mode,threads,seqlen,batch_size,throughput (MiB/s)
tcga-atac,gvl027,haps,none,1,2048,1024,2047.0106552968778
tcga-atac,gvl027,haps,none,1,2048,1024,2077.8612658511756
tcga-atac,gvl027,haps,none,1,2048,1024,2170.4125838065784
tcga-atac,gvl027,haps,none,1,2048,1024,2185.186718043232
tcga-atac,gvl027,haps,none,1,2048,1024,2186.2198853619107
tcga-atac,gvl027,haps,none,16,2048,1024,4668.6667864975025
tcga-atac,gvl027,haps,none,16,2048,1024,4736.389684076364
tcga-atac,gvl027,haps,none,16,2048,1024,4779.679443338144
tcga-atac,gvl027,haps,none,16,2048,1024,4748.273336123961
tcga-atac,gvl027,haps,none,16,2048,1024,4742.833454079374
tcga-atac,gvl027,haps,none,64,2048,1024,2654.0361875052195
tcga-atac,gvl027,haps,none,64,2048,1024,3997.0416467595455
tcga-atac,gvl027,haps,none,64,2048,1024,3970.3718351803604
tcga-atac,gvl027,haps,none,64,2048,1024,3944.932996544801
tcga-atac,gvl027,haps,none,64,2048,1024,3855.5606425657525
tcga-atac,gvl027,haps,none,1,2048,16384,2966.1572682522565
tcga-atac,gvl027,haps,none,1,2048,16384,3094.339462792302
tcga-atac,gvl027,haps,none,1,2048,16384,2453.0275770565895
tcga-atac,gvl027,haps,none,1,2048,16384,3091.24908394405
tcga-atac,gvl027,haps,none,1,2048,16384,3110.67686283151
tcga-atac,gvl027,haps,none,16,2048,16384,9504.872993192745
tcga-atac,gvl027,haps,none,16,2048,16384,10857.378963912768
tcga-atac,gvl027,haps,none,16,2048,16384,10622.365277209488
tcga-atac,gvl027,haps,none,16,2048,16384,10489.20640555496
tcga-atac,gvl027,haps,none,16,2048,16384,10479.710946559291
tcga-atac,gvl027,haps,none,64,2048,16384,5968.167954962765
tcga-atac,gvl027,haps,none,64,2048,16384,8222.872755950126
tcga-atac,gvl027,haps,none,64,2048,16384,8187.778406149253
tcga-atac,gvl027,haps,none,64,2048,16384,5537.721786986627
tcga-atac,gvl027,haps,none,64,2048,16384,6961.071266859224
tcga-atac,gvl027,haps,none,1,2048,262144,3278.5014154278156
tcga-atac,gvl027,haps,none,1,2048,262144,3045.201777068535
tcga-atac,gvl027,haps,none,1,2048,262144,3245.5820358179935
tcga-atac,gvl027,haps,none,1,2048,262144,3239.543978796968
tcga-atac,gvl027,haps,none,1,2048,262144,3240.8767511101737
tcga-atac,gvl027,haps,none,16,2048,262144,9605.965919453096
tcga-atac,gvl027,haps,none,16,2048,262144,10413.440469754034
tcga-atac,gvl027,haps,none,16,2048,262144,10448.194885544093
tcga-atac,gvl027,haps,none,16,2048,262144,10087.733786622994
tcga-atac,gvl027,haps,none,16,2048,262144,10587.179758324628
tcga-atac,gvl027,haps,none,64,2048,262144,4517.661829455803
tcga-atac,gvl027,haps,none,64,2048,262144,8781.830362553068
tcga-atac,gvl027,haps,none,64,2048,262144,8424.80039002964
tcga-atac,gvl027,haps,none,64,2048,262144,8456.472928132056
tcga-atac,gvl027,haps,none,64,2048,262144,8454.759214214197
