mode,dataset,seqlen,best_mib_s,speedup,gvl_gb_s,exceeds_a100_pcie
haps,1KGP,2048,6771.179119867299,8.410401633296217,7.100095916793974,false
haps,1KGP,16384,13311.050677828891,7.778624623326595,13.957648275555108,false
haps,1KGP,131072,15391.042555419526,14.29759683404812,16.138677838591587,false
haps,1KGP,1048576,18218.83351721115,12.227976409297161,19.1038315741432,false
haps,TCGA_ATAC,2048,7832.84644615537,9.729086083517261,8.213334795123814,false
haps,TCGA_ATAC,16384,15283.480978394993,8.931260525264387,16.02589135040151,false
haps,TCGA_ATAC,131072,18084.92629464446,16.800095510310552,18.96341967433311,false
haps,TCGA_ATAC,1048576,15713.883855491773,10.546723581499752,16.47720147765614,false
haps,UKBB,2048,7191.5010180811,8.932478500067509,7.540835371535407,false
haps,UKBB,16384,15744.451917775934,9.200639704000368,16.509254414133817,false
haps,UKBB,131072,16955.648975680393,15.751046898935122,17.779286580323046,false
haps,UKBB,1048576,14315.889241363566,9.608428319855527,15.011297877152042,false
tracks,TCGA_ATAC,2048,12562.48996908912,128.8771919616659,13.172725481827595,false
tracks,TCGA_ATAC,16384,17631.076652331794,27.23656908339079,18.487523831795464,false
tracks,TCGA_ATAC,131072,18328.5013702913,9.429182326113587,19.21882665285457,false
tracks,TCGA_ATAC,1048576,18001.66470042722,9.725223082245696,18.876113564915173,false
