dataset,backend,mode,dl_mode,threads,seqlen,batch_size,throughput (MiB/s)
1kgp,gvl027,haps,buffered,1,2048,1024,413378.33330024837
1kgp,gvl027,haps,buffered,1,2048,1024,412897.47684794356
1kgp,gvl027,haps,buffered,1,2048,1024,432664.2101998468
1kgp,gvl027,haps,buffered,1,2048,1024,448675.7093008467
1kgp,gvl027,haps,buffered,1,2048,1024,423005.13418388873
1kgp,gvl027,haps,buffered,16,2048,1024,395141.134286793
1kgp,gvl027,haps,buffered,16,2048,1024,437409.1884381025
1kgp,gvl027,haps,buffered,16,2048,1024,421144.641708713
1kgp,gvl027,haps,buffered,16,2048,1024,445007.63768953277
1kgp,gvl027,haps,buffered,16,2048,1024,443093.7251982976
1kgp,gvl027,haps,buffered,64,2048,1024,334380.9095463557
1kgp,gvl027,haps,buffered,64,2048,1024,370372.10141201667
1kgp,gvl027,haps,buffered,64,2048,1024,363335.93537139276
1kgp,gvl027,haps,buffered,64,2048,1024,370085.4344637899
1kgp,gvl027,haps,buffered,64,2048,1024,365385.89253042825
1kgp,gvl027,haps,buffered,1,2048,16384,5149949.427403811
1kgp,gvl027,haps,buffered,1,2048,16384,6355273.840484025
1kgp,gvl027,haps,buffered,1,2048,16384,6322629.701818851
1kgp,gvl027,haps,buffered,1,2048,16384,6292281.108196618
1kgp,gvl027,haps,buffered,1,2048,16384,5833656.99454974
1kgp,gvl027,haps,buffered,16,2048,16384,4144256.393803846
1kgp,gvl027,haps,buffered,16,2048,16384,5450081.119725789
1kgp,gvl027,haps,buffered,16,2048,16384,6164365.231419149
1kgp,gvl027,haps,buffered,16,2048,16384,5854710.091219625
1kgp,gvl027,haps,buffered,16,2048,16384,5431839.668688456
1kgp,gvl027,haps,buffered,64,2048,16384,4575612.297534418
1kgp,gvl027,haps,buffered,64,2048,16384,4586085.175468562
1kgp,gvl027,haps,buffered,64,2048,16384,5018206.507744022
1kgp,gvl027,haps,buffered,64,2048,16384,4753966.473004933
1kgp,gvl027,haps,buffered,64,2048,16384,4908775.108491935
1kgp,gvl027,haps,buffered,1,2048,262144,2466.937192994389
1kgp,gvl027,haps,buffered,1,2048,262144,2645.9639064746107
1kgp,gvl027,haps,buffered,1,2048,262144,2632.76697999303
1kgp,gvl027,haps,buffered,1,2048,262144,2653.4187754585296
1kgp,gvl027,haps,buffered,1,2048,262144,2646.186601139215
1kgp,gvl027,haps,buffered,16,2048,262144,18025.7842505494
1kgp,gvl027,haps,buffered,16,2048,262144,18009.220078982085
1kgp,gvl027,haps,buffered,16,2048,262144,17866.811573713116
1kgp,gvl027,haps,buffered,16,2048,262144,18063.456776251212
1kgp,gvl027,haps,buffered,16,2048,262144,18200.384643407513
1kgp,gvl027,haps,buffered,64,2048,262144,19739.326428721623
1kgp,gvl027,haps,buffered,64,2048,262144,20696.6973628525
1kgp,gvl027,haps,buffered,64,2048,262144,17257.473548302492
1kgp,gvl027,haps,buffered,64,2048,262144,20336.04419940583
1kgp,gvl027,haps,buffered,64,2048,262144,20483.80429350091
