dataset,backend,mode,dl_mode,threads,seqlen,batch_size,throughput (MiB/s)
1kgp,gvl027,haps,buffered,1,16384,128,424421.654612267
1kgp,gvl027,haps,buffered,1,16384,128,411346.5761122664
1kgp,gvl027,haps,buffered,1,16384,128,430629.3925597804
1kgp,gvl027,haps,buffered,1,16384,128,426657.8019182611
1kgp,gvl027,haps,buffered,1,16384,128,426075.1332424961
1kgp,gvl027,haps,buffered,16,16384,128,357061.2344727581
1kgp,gvl027,haps,buffered,16,16384,128,437948.92487563734
1kgp,gvl027,haps,buffered,16,16384,128,432950.32018532837
1kgp,gvl027,haps,buffered,16,16384,128,432300.8490574109
1kgp,gvl027,haps,buffered,16,16384,128,438516.68900532275
1kgp,gvl027,haps,buffered,64,16384,128,348949.99748136615
1kgp,gvl027,haps,buffered,64,16384,128,364018.26215976983
1kgp,gvl027,haps,buffered,64,16384,128,357455.9508962475
1kgp,gvl027,haps,buffered,64,16384,128,394426.7666745874
1kgp,gvl027,haps,buffered,64,16384,128,363175.6375361157
1kgp,gvl027,haps,buffered,1,16384,2048,5226840.470272807
1kgp,gvl027,haps,buffered,1,16384,2048,5119484.228598035
1kgp,gvl027,haps,buffered,1,16384,2048,5538396.892969534
1kgp,gvl027,haps,buffered,1,16384,2048,5483739.116306907
1kgp,gvl027,haps,buffered,1,16384,2048,5323763.8674278185
1kgp,gvl027,haps,buffered,16,16384,2048,2567786.9980178387
1kgp,gvl027,haps,buffered,16,16384,2048,6378667.384736321
1kgp,gvl027,haps,buffered,16,16384,2048,4588348.254979265
1kgp,gvl027,haps,buffered,16,16384,2048,4467225.972514357
1kgp,gvl027,haps,buffered,16,16384,2048,4813747.2854320565
1kgp,gvl027,haps,buffered,64,16384,2048,6162508.17750302
1kgp,gvl027,haps,buffered,64,16384,2048,4884840.395918902
1kgp,gvl027,haps,buffered,64,16384,2048,2219355.884487734
1kgp,gvl027,haps,buffered,64,16384,2048,3169267.5892159566
1kgp,gvl027,haps,buffered,64,16384,2048,6165886.257711132
1kgp,gvl027,haps,buffered,1,16384,32768,3270.727165950944
1kgp,gvl027,haps,buffered,1,16384,32768,3303.71116416192
1kgp,gvl027,haps,buffered,1,16384,32768,3317.5203037597125
1kgp,gvl027,haps,buffered,1,16384,32768,3313.433427092568
1kgp,gvl027,haps,buffered,1,16384,32768,3333.792901783096
1kgp,gvl027,haps,buffered,16,16384,32768,33985.6183618716
1kgp,gvl027,haps,buffered,16,16384,32768,33497.8251938668
1kgp,gvl027,haps,buffered,16,16384,32768,32305.759054617556
1kgp,gvl027,haps,buffered,16,16384,32768,33115.166486722876
1kgp,gvl027,haps,buffered,16,16384,32768,32627.46126137164
1kgp,gvl027,haps,buffered,64,16384,32768,37320.79819589198
1kgp,gvl027,haps,buffered,64,16384,32768,36648.556386332566
1kgp,gvl027,haps,buffered,64,16384,32768,37886.40268651484
1kgp,gvl027,haps,buffered,64,16384,32768,39536.48521815806
1kgp,gvl027,haps,buffered,64,16384,32768,38029.89135059685
